|   a   |     in0      |     in1      |     in2      | w |     out0     |     out1     |     out2     |
| 00001 | 000000000001 | 000000000010 | 000000000011 | 1 | 000000000001 | 000000000010 | 000000000011 |
| 00001 | 111111111111 | 111111111111 | 111111111111 | 0 | 000000000001 | 000000000010 | 000000000011 |
| 00010 | 000000000100 | 000000000101 | 000000000110 | 1 | 000000000100 | 000000000101 | 000000000110 |
| 00010 | 000000000000 | 000000000000 | 000000000000 | 0 | 000000000100 | 000000000101 | 000000000110 |
| 00001 | 000000000100 | 000000000101 | 000000000110 | 0 | 000000000001 | 000000000010 | 000000000011 |
| 00001 | 000000001111 | 000000010000 | 000000010001 | 1 | 000000001111 | 000000010000 | 000000010001 |
| 00001 | 000000000000 | 000000000000 | 000000000000 | 0 | 000000001111 | 000000010000 | 000000010001 |
| 11111 | 000000111111 | 000001000000 | 000001000001 | 1 | 000000111111 | 000001000000 | 000001000001 |
| 11111 | 000000000000 | 000000000000 | 000000000000 | 0 | 000000111111 | 000001000000 | 000001000001 |
| 00100 | 000000000000 | 000000000000 | 000000000000 | 0 | 000000000000 | 000000000000 | 000000000000 |
